iter	Passed	Remaining
273	3148	2883
274	3159	2871
275	3169	2859
276	3181	2848
277	3192	2836
278	3202	2823
279	3213	2812
280	3224	2800
281	3235	2788
282	3246	2776
283	3257	2764
284	3268	2752
285	3280	2741
286	3290	2728
287	3302	2717
288	3313	2705
289	3324	2694
290	3336	2682
291	3347	2671
292	3358	2659
293	3369	2647
294	3380	2635
295	3391	2623
296	3391	2603
297	3402	2591
298	3413	2580
299	3425	2568
300	3436	2557
301	3447	2545
302	3459	2534
303	3471	2523
304	3484	2513
305	3496	2502
306	3509	2492
307	3521	2480
308	3533	2469
309	3544	2458
310	3557	2448
311	3568	2436
312	3584	2427
313	3599	2418
314	3614	2409
315	3629	2400
316	3644	2391
317	3658	2381
318	3670	2370
319	3681	2358
320	3692	2346
321	3703	2334
322	3713	2322
323	3725	2311
324	3736	2299
325	3746	2287
326	3757	2274
327	3768	2263
328	3779	2251
329	3790	2239
330	3800	2227
331	3811	2215
332	3822	2203
333	3832	2191
334	3843	2180
335	3855	2168
336	3865	2156
337	3876	2144
338	3887	2133
339	3899	2121
340	3909	2109
341	3920	2097
342	3930	2085
343	3941	2073
344	3953	2062
345	3965	2051
346	3976	2039
347	3988	2028
348	3999	2017
349	4010	2005
350	4021	1993
351	4032	1981
352	4043	1970
353	4054	1958
354	4066	1947
355	4076	1935
356	4087	1923
357	4099	1912
358	4109	1900
359	4121	1888
360	4132	1877
361	4143	1865
362	4154	1854
363	4165	1842
364	4176	1830
365	4188	1819
366	4200	1808
367	4211	1796
368	4222	1785
369	4233	1773
370	4245	1762
371	4256	1750
372	4268	1739
373	4280	1728
374	4291	1716
375	4302	1704
376	4313	1693
377	4324	1681
378	4334	1669
379	4346	1658
380	4357	1646
381	4368	1635
382	4379	1623
383	4390	1612
384	4401	1600
385	4412	1589
386	4424	1577
387	4435	1566
388	4446	1554
389	4457	1543
390	4469	1531
391	4480	1520
392	4491	1508
393	4502	1497
394	4514	1485
395	4528	1475
396	4540	1463
397	4550	1452
398	4563	1441
399	4578	1430
400	4593	1420
401	4608	1410
402	4622	1399
403	4638	1389
404	4650	1377
405	4661	1366
406	4672	1354
407	4683	1343
